NúmeroDoPedido;CódigoDoCliente;CódigoDoFuncionário;DataDoPedido;DataDeEntrega;DataDeEntrega;DataDeEnvio;Via;Frete;NomeDoDestinatário;EndereçoDoDestinatário;CidadeDeDestino;RegiãoDeDestino;CEPdeDestino;PaísDeDestino
10577;TRAIH;9;18/06/2017;30/07/2017;25/07/2037;25/06/2017;2;25,41;Trail's Head Gourmet Provisioners;722 DaVinci Blvd.;Kirkland;WA;98034;EUA
10578;BSBEV;4;19/06/2017;17/07/2017;12/07/2037;20/07/2017;3;29,60;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10579;LETSS;1;20/06/2017;18/07/2017;13/07/2037;29/06/2017;2;13,73;Let's Stop N Shop;"87 Polk St.
Suite 5";San Francisco;CA;94117;EUA
10580;OTTIK;4;21/06/2017;19/07/2017;14/07/2037;26/06/2017;3;75,89;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemanha
10581;FAMIA;3;21/06/2017;19/07/2017;14/07/2037;27/06/2017;1;3,01;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10582;BLAUS;3;22/06/2017;20/07/2017;15/07/2037;09/07/2017;2;27,71;Blauer See Delikatessen;Forsterstr. 57;Mannheim;;68306;Alemanha
10583;WARTH;2;25/06/2017;23/07/2017;18/07/2037;29/06/2017;2;7,28;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10584;BLONP;4;25/06/2017;23/07/2017;18/07/2037;29/06/2017;1;59,14;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10585;WELLI;7;26/06/2017;24/07/2017;19/07/2037;05/07/2017;1;13,41;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brasil
10586;REGGC;9;27/06/2017;25/07/2017;20/07/2037;04/07/2017;1;0,48;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10587;QUEDE;1;27/06/2017;25/07/2017;20/07/2037;04/07/2017;1;62,52;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10588;QUICK;2;28/06/2017;26/07/2017;21/07/2037;05/07/2017;3;194,67;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10589;GREAL;8;29/06/2017;27/07/2017;22/07/2037;09/07/2017;2;4,42;Great Lakes Food Market;2732 Baker Blvd.;Eugene;OR;97403;EUA
10590;MEREP;4;02/07/2017;30/07/2017;25/07/2037;09/07/2017;3;44,77;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10591;VAFFE;1;02/07/2017;16/07/2017;11/07/2037;11/07/2017;1;55,92;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
10592;LEHMS;3;03/07/2017;31/07/2017;26/07/2037;11/07/2017;1;32,10;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10593;LEHMS;7;04/07/2017;01/08/2017;27/07/2037;08/08/2017;2;174,20;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10594;OLDWO;3;04/07/2017;01/08/2017;27/07/2037;11/07/2017;2;5,24;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;EUA
10595;ERNSH;2;05/07/2017;02/08/2017;28/07/2037;09/07/2017;1;96,78;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10596;WHITC;8;06/07/2017;03/08/2017;29/07/2037;07/08/2017;1;16,34;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10597;PICCO;7;06/07/2017;03/08/2017;29/07/2037;13/07/2017;3;35,12;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10598;RATTC;1;09/07/2017;06/08/2017;01/08/2037;13/07/2017;3;44,42;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10599;BSBEV;6;10/07/2017;21/08/2017;16/08/2037;16/07/2017;3;29,98;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10600;HUNGC;4;11/07/2017;08/08/2017;03/08/2037;16/07/2017;1;45,13;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;EUA
10601;HILAA;7;11/07/2017;22/08/2017;17/08/2037;17/07/2017;1;58,30;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10602;VAFFE;8;12/07/2017;09/08/2017;04/08/2037;17/07/2017;2;2,92;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
10603;SAVEA;8;13/07/2017;10/08/2017;05/08/2037;03/08/2017;2;48,77;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10604;FURIB;1;13/07/2017;10/08/2017;05/08/2037;24/07/2017;1;7,46;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10605;MEREP;1;16/07/2017;13/08/2017;08/08/2037;24/07/2017;2;379,13;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10606;TRADH;4;17/07/2017;14/08/2017;09/08/2037;26/07/2017;3;79,40;Tradição Hipermercados;Av. Inês de Castro, 414;São Paulo;SP;05634-030;Brasil
10607;SAVEA;5;17/07/2017;14/08/2017;09/08/2037;20/07/2017;1;200,24;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10608;TOMSP;4;18/07/2017;15/08/2017;10/08/2037;27/07/2017;2;27,79;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Alemanha
10609;DUMON;7;19/07/2017;16/08/2017;11/08/2037;25/07/2017;2;1,85;Du monde entier;67, rue des Cinquante Otages;Nantes;;44000;França
10610;LAMAI;8;20/07/2017;17/08/2017;12/08/2037;01/08/2017;1;26,78;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10611;WOLZA;6;20/07/2017;17/08/2017;12/08/2037;27/07/2017;2;80,65;Wolski Zajazd;ul. Filtrowa 68;Warszawa;;01-012;Polônia
10612;SAVEA;1;23/07/2017;20/08/2017;15/08/2037;27/07/2017;2;544,08;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10613;HILAA;4;24/07/2017;21/08/2017;16/08/2037;27/07/2017;2;8,11;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10614;BLAUS;8;24/07/2017;21/08/2017;16/08/2037;27/07/2017;3;1,93;Blauer See Delikatessen;Forsterstr. 57;Mannheim;;68306;Alemanha
10615;WILMK;2;25/07/2017;22/08/2017;17/08/2037;01/08/2017;3;0,75;Wilman Kala;Keskuskatu 45;Helsinki;;21240;Finlândia
10616;GREAL;1;26/07/2017;23/08/2017;18/08/2037;31/07/2017;2;116,53;Great Lakes Food Market;2732 Baker Blvd.;Eugene;OR;97403;EUA
10617;GREAL;4;26/07/2017;23/08/2017;18/08/2037;30/07/2017;2;18,53;Great Lakes Food Market;2732 Baker Blvd.;Eugene;OR;97403;EUA
10618;MEREP;1;27/07/2017;07/09/2017;02/09/2037;03/08/2017;1;154,68;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10619;MEREP;3;30/07/2017;27/08/2017;22/08/2037;02/08/2017;3;91,05;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10620;LAUGB;2;31/07/2017;28/08/2017;23/08/2037;09/08/2017;3;0,94;Laughing Bacchus Wine Cellars;2319 Elm St.;Vancouver;BC;V3F 2K1;Canadá
10621;ISLAT;4;31/07/2017;28/08/2017;23/08/2037;06/08/2017;2;23,73;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
10622;RICAR;4;01/08/2017;29/08/2017;24/08/2037;06/08/2017;3;50,97;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10623;FRANK;8;02/08/2017;30/08/2017;25/08/2037;07/08/2017;2;97,18;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10624;THECR;4;02/08/2017;30/08/2017;25/08/2037;14/08/2017;2;94,80;The Cracker Box;55 Grizzly Peak Rd.;Butte;MT;59801;EUA
10625;ANATR;3;03/08/2017;31/08/2017;26/08/2037;09/08/2017;1;43,90;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;;05021;México
10626;BERGS;1;06/08/2017;03/09/2017;29/08/2037;15/08/2017;2;138,69;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10627;SAVEA;8;06/08/2017;17/09/2017;12/09/2037;16/08/2017;3;107,46;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10628;BLONP;4;07/08/2017;04/09/2017;30/08/2037;15/08/2017;3;30,36;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10629;GODOS;4;07/08/2017;04/09/2017;30/08/2037;15/08/2017;3;85,46;Godos Cocina Típica;C/ Romero, 33;Sevilla;;41101;Espanha
10630;KOENE;1;08/08/2017;05/09/2017;31/08/2037;14/08/2017;2;32,35;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10631;LAMAI;8;09/08/2017;06/09/2017;01/09/2037;10/08/2017;1;0,87;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10632;WANDK;8;09/08/2017;06/09/2017;01/09/2037;14/08/2017;1;41,38;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10633;ERNSH;7;10/08/2017;07/09/2017;02/09/2037;13/08/2017;3;477,90;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10634;FOLIG;4;10/08/2017;07/09/2017;02/09/2037;16/08/2017;3;487,38;Folies gourmandes;184, chaussée de Tournai;Lille;;59000;França
10635;MAGAA;8;13/08/2017;10/09/2017;05/09/2037;16/08/2017;3;47,46;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Itália
10636;WARTH;4;14/08/2017;11/09/2017;06/09/2037;21/08/2017;1;1,15;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10637;QUEEN;6;14/08/2017;11/09/2017;06/09/2037;21/08/2017;1;201,29;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10638;LINOD;3;15/08/2017;12/09/2017;07/09/2037;27/08/2017;1;158,44;LINO-Delicateses;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela
10639;SANTG;7;15/08/2017;12/09/2017;07/09/2037;22/08/2017;3;38,64;Santé Gourmet;Erling Skakkes gate 78;Stavern;;4110;Noruega
10640;WANDK;4;16/08/2017;13/09/2017;08/09/2037;23/08/2017;1;23,55;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10641;HILAA;4;17/08/2017;14/09/2017;09/09/2037;21/08/2017;2;179,61;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10642;SIMOB;7;17/08/2017;14/09/2017;09/09/2037;31/08/2017;3;41,89;Simons bistro;Vinbæltet 34;København;;1734;Dinamarca
10643;ALFKI;6;20/08/2017;17/09/2017;12/09/2037;28/08/2017;1;29,46;Alfreds Futterkiste;Obere Str. 57;Berlin;;12209;Alemanha
10644;WELLI;3;20/08/2017;17/09/2017;12/09/2037;27/08/2017;2;0,14;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brasil
10645;HANAR;4;21/08/2017;18/09/2017;13/09/2037;28/08/2017;1;12,41;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brasil
10646;HUNGO;9;22/08/2017;03/10/2017;28/09/2037;29/08/2017;3;142,33;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10647;QUEDE;4;22/08/2017;05/09/2017;31/08/2037;29/08/2017;2;45,54;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10648;RICAR;5;23/08/2017;04/10/2017;29/09/2037;04/09/2017;2;14,25;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10649;MAISD;5;23/08/2017;20/09/2017;15/09/2037;24/08/2017;3;6,20;Maison Dewey;Rue Joseph-Bens 532;Bruxelles;;B-1180;Bélgica
10650;FAMIA;5;24/08/2017;21/09/2017;16/09/2037;29/08/2017;3;176,81;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10651;WANDK;8;27/08/2017;24/09/2017;19/09/2037;06/09/2017;2;20,60;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10652;GOURL;4;27/08/2017;24/09/2017;19/09/2037;03/09/2017;2;7,14;Gourmet Lanchonetes;Av. Brasil, 442;Campinas;SP;04876-786;Brasil
10653;FRANK;1;28/08/2017;25/09/2017;20/09/2037;14/09/2017;1;93,25;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10654;BERGS;5;28/08/2017;25/09/2017;20/09/2037;06/09/2017;1;55,26;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10655;REGGC;1;29/08/2017;26/09/2017;21/09/2037;06/09/2017;2;4,41;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10656;GREAL;6;30/08/2017;27/09/2017;22/09/2037;05/09/2017;1;57,15;Great Lakes Food Market;2732 Baker Blvd.;Eugene;OR;97403;EUA
10657;SAVEA;2;30/08/2017;27/09/2017;22/09/2037;10/09/2017;2;352,69;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10658;QUICK;4;31/08/2017;28/09/2017;23/09/2037;03/09/2017;1;364,15;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10659;QUEEN;7;31/08/2017;28/09/2017;23/09/2037;05/09/2017;2;105,81;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10660;HUNGC;8;03/09/2017;01/10/2017;26/09/2037;10/10/2017;1;111,29;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;EUA
10661;HUNGO;7;04/09/2017;02/10/2017;27/09/2037;10/09/2017;3;17,55;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10662;LONEP;3;04/09/2017;02/10/2017;27/09/2037;13/09/2017;2;1,28;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;EUA
10663;BONAP;2;05/09/2017;19/09/2017;14/09/2037;28/09/2017;2;113,15;Bon app';12, rue des Bouchers;Marseille;;13008;França
10664;FURIB;1;05/09/2017;03/10/2017;28/09/2037;14/09/2017;3;1,27;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10665;LONEP;1;06/09/2017;04/10/2017;29/09/2037;12/09/2017;2;26,31;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;EUA
10666;RICSU;7;07/09/2017;05/10/2017;30/09/2037;17/09/2017;2;232,42;Richter Supermarkt;Starenweg 5;Genève;;1204;Suíça
10667;ERNSH;7;07/09/2017;05/10/2017;30/09/2037;14/09/2017;1;78,09;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10668;WANDK;1;10/09/2017;08/10/2017;03/10/2037;18/09/2017;2;47,22;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10669;SIMOB;2;10/09/2017;08/10/2017;03/10/2037;17/09/2017;1;24,39;Simons bistro;Vinbæltet 34;København;;1734;Dinamarca
10670;FRANK;4;11/09/2017;09/10/2017;04/10/2037;13/09/2017;1;203,48;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10671;FRANR;1;12/09/2017;10/10/2017;05/10/2037;19/09/2017;1;30,34;France restauration;54, rue Royale;Nantes;;44000;França
10672;BERGS;9;12/09/2017;26/09/2017;21/09/2037;21/09/2017;2;95,75;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10673;WILMK;2;13/09/2017;11/10/2017;06/10/2037;14/09/2017;1;22,76;Wilman Kala;Keskuskatu 45;Helsinki;;21240;Finlândia
10674;ISLAT;4;13/09/2017;11/10/2017;06/10/2037;25/09/2017;2;0,90;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
10675;FRANK;5;14/09/2017;12/10/2017;07/10/2037;18/09/2017;2;31,85;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10676;TORTU;2;17/09/2017;15/10/2017;10/10/2037;24/09/2017;2;2,01;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
10677;ANTON;1;17/09/2017;15/10/2017;10/10/2037;21/09/2017;3;4,03;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;México
10678;SAVEA;7;18/09/2017;16/10/2017;11/10/2037;11/10/2017;3;388,98;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10679;BLONP;8;18/09/2017;16/10/2017;11/10/2037;25/09/2017;3;27,94;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10680;OLDWO;1;19/09/2017;17/10/2017;12/10/2037;21/09/2017;1;26,61;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;EUA
10681;GREAL;3;20/09/2017;18/10/2017;13/10/2037;25/09/2017;3;76,13;Great Lakes Food Market;2732 Baker Blvd.;Eugene;OR;97403;EUA
10682;ANTON;3;20/09/2017;18/10/2017;13/10/2037;26/09/2017;2;36,13;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;México
10683;DUMON;2;21/09/2017;19/10/2017;14/10/2037;26/09/2017;1;4,40;Du monde entier;67, rue des Cinquante Otages;Nantes;;44000;França
10684;OTTIK;3;21/09/2017;19/10/2017;14/10/2037;25/09/2017;1;145,63;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemanha
10685;GOURL;4;24/09/2017;08/10/2017;03/10/2037;28/09/2017;2;33,75;Gourmet Lanchonetes;Av. Brasil, 442;Campinas;SP;04876-786;Brasil
10686;PICCO;2;25/09/2017;23/10/2017;18/10/2037;03/10/2017;1;96,50;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10687;HUNGO;9;25/09/2017;23/10/2017;18/10/2037;25/10/2017;2;296,43;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10688;VAFFE;4;26/09/2017;10/10/2017;05/10/2037;02/10/2017;2;299,09;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
10689;BERGS;1;26/09/2017;24/10/2017;19/10/2037;02/10/2017;2;13,42;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10690;HANAR;1;27/09/2017;25/10/2017;20/10/2037;28/09/2017;1;15,80;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brasil
10691;QUICK;2;28/09/2017;09/11/2017;04/11/2037;17/10/2017;2;810,05;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10692;ALFKI;4;28/09/2017;26/10/2017;21/10/2037;08/10/2017;2;61,02;Alfreds Futterkiste;Obere Str. 57;Berlin;;12209;Alemanha
10693;WHITC;3;01/10/2017;15/10/2017;10/10/2037;05/10/2017;3;139,34;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10694;QUICK;8;01/10/2017;29/10/2017;24/10/2037;04/10/2017;3;398,36;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10695;WILMK;7;02/10/2017;13/11/2017;08/11/2037;09/10/2017;1;16,72;Wilman Kala;Keskuskatu 45;Helsinki;;21240;Finlândia
10696;WHITC;8;03/10/2017;14/11/2017;09/11/2037;09/10/2017;3;102,55;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10697;LINOD;3;03/10/2017;31/10/2017;26/10/2037;09/10/2017;1;45,52;LINO-Delicateses;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela
10698;ERNSH;4;04/10/2017;01/11/2017;27/10/2037;12/10/2017;1;272,47;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10699;MORGK;3;04/10/2017;01/11/2017;27/10/2037;08/10/2017;3;0,58;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;04179;Alemanha
10700;SAVEA;3;05/10/2017;02/11/2017;28/10/2037;11/10/2017;1;65,10;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10701;HUNGO;6;08/10/2017;22/10/2017;17/10/2037;10/10/2017;3;220,31;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10702;ALFKI;4;08/10/2017;19/11/2017;14/11/2037;16/10/2017;1;23,94;Alfreds Futterkiste;Obere Str. 57;Berlin;;12209;Alemanha
10703;FOLKO;6;09/10/2017;06/11/2017;01/11/2037;15/10/2017;2;152,30;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10704;QUEEN;6;09/10/2017;06/11/2017;01/11/2037;02/11/2017;1;4,78;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10705;HILAA;9;10/10/2017;07/11/2017;02/11/2037;13/11/2017;2;3,52;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10706;OLDWO;8;11/10/2017;08/11/2017;03/11/2037;16/10/2017;3;135,63;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;EUA
10707;AROUT;4;11/10/2017;25/10/2017;20/10/2037;18/10/2017;3;21,74;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
10708;THEBI;6;12/10/2017;23/11/2017;18/11/2037;31/10/2017;2;2,96;The Big Cheese;"89 Jefferson Way
Suite 2";Portland;OR;97201;EUA
10709;GOURL;1;12/10/2017;09/11/2017;04/11/2037;15/11/2017;3;210,80;Gourmet Lanchonetes;Av. Brasil, 442;Campinas;SP;04876-786;Brasil
10710;FRANS;1;15/10/2017;12/11/2017;07/11/2037;18/10/2017;1;4,98;Franchi S.p.A.;Via Monte Bianco 34;Torino;;10100;Itália
10711;SAVEA;5;16/10/2017;27/11/2017;22/11/2037;24/10/2017;2;52,41;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10712;HUNGO;3;16/10/2017;13/11/2017;08/11/2037;26/10/2017;1;89,93;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10713;SAVEA;1;17/10/2017;14/11/2017;09/11/2037;19/10/2017;1;167,05;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10714;SAVEA;5;17/10/2017;14/11/2017;09/11/2037;22/10/2017;3;24,49;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10715;BONAP;3;18/10/2017;01/11/2017;27/10/2037;24/10/2017;1;63,20;Bon app';12, rue des Bouchers;Marseille;;13008;França
10716;RANCH;4;19/10/2017;16/11/2017;11/11/2037;22/10/2017;2;22,57;Rancho grande;Av. del Libertador 900;Buenos Aires;;1010;Argentina
10717;FRANK;1;19/10/2017;16/11/2017;11/11/2037;24/10/2017;2;59,25;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10718;KOENE;1;22/10/2017;19/11/2017;14/11/2037;24/10/2017;3;170,88;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10719;LETSS;8;22/10/2017;19/11/2017;14/11/2037;31/10/2017;2;51,44;Let's Stop N Shop;"87 Polk St.
Suite 5";San Francisco;CA;94117;EUA
10720;QUEDE;8;23/10/2017;06/11/2017;01/11/2037;31/10/2017;2;9,53;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10721;QUICK;5;24/10/2017;21/11/2017;16/11/2037;26/10/2017;3;48,92;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10722;SAVEA;8;24/10/2017;05/12/2017;30/11/2037;30/10/2017;1;74,58;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10723;WHITC;3;25/10/2017;22/11/2017;17/11/2037;20/11/2017;1;21,72;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10724;MEREP;8;25/10/2017;06/12/2017;01/12/2037;31/10/2017;2;57,75;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10725;FAMIA;4;26/10/2017;23/11/2017;18/11/2037;31/10/2017;3;10,83;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10726;EASTC;4;29/10/2017;12/11/2017;07/11/2037;30/11/2017;1;16,56;Eastern Connection;35 King George;London;;WX3 6FW;Reino Unido
10727;REGGC;2;29/10/2017;26/11/2017;21/11/2037;30/11/2017;1;89,90;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10728;QUEEN;4;30/10/2017;27/11/2017;22/11/2037;06/11/2017;2;58,33;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10729;LINOD;8;30/10/2017;11/12/2017;06/12/2037;09/11/2017;3;141,06;LINO-Delicateses;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela
10730;BONAP;5;31/10/2017;28/11/2017;23/11/2037;09/11/2017;1;20,12;Bon app';12, rue des Bouchers;Marseille;;13008;França
10731;CHOPS;7;01/11/2017;29/11/2017;24/11/2037;09/11/2017;1;96,65;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Suíça
10732;BONAP;3;01/11/2017;29/11/2017;24/11/2037;02/11/2017;1;16,97;Bon app';12, rue des Bouchers;Marseille;;13008;França
10733;BERGS;1;02/11/2017;30/11/2017;25/11/2037;05/11/2017;3;110,11;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10734;GOURL;2;02/11/2017;30/11/2017;25/11/2037;07/11/2017;3;1,63;Gourmet Lanchonetes;Av. Brasil, 442;Campinas;SP;04876-786;Brasil
10735;LETSS;6;05/11/2017;03/12/2017;28/11/2037;16/11/2017;2;45,97;Let's Stop N Shop;"87 Polk St.
Suite 5";San Francisco;CA;94117;EUA
10736;HUNGO;9;06/11/2017;04/12/2017;29/11/2037;16/11/2017;2;44,10;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10737;VINET;2;06/11/2017;04/12/2017;29/11/2037;13/11/2017;2;7,79;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;França
10738;SPECD;2;07/11/2017;05/12/2017;30/11/2037;13/11/2017;1;2,91;Spécialités du monde;25, rue Lauriston;Paris;;75016;França
10739;VINET;3;07/11/2017;05/12/2017;30/11/2037;12/11/2017;3;11,08;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;França
10740;WHITC;4;08/11/2017;06/12/2017;01/12/2037;20/11/2017;2;81,88;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10741;AROUT;4;09/11/2017;23/11/2017;18/11/2037;13/11/2017;3;10,96;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
10742;BOTTM;3;09/11/2017;07/12/2017;02/12/2037;13/11/2017;3;243,73;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
